iter	Passed	Remaining
0	1	170
1	3	178
2	5	176
3	6	165
4	8	160
5	10	162
6	12	162
7	13	159
8	15	160
9	17	158
10	19	157
11	20	153
12	22	150
13	24	149
14	25	146
15	27	144
16	29	141
17	30	139
18	32	137
19	33	135
20	35	134
21	37	132
22	38	130
23	40	128
24	42	126
25	43	125
26	45	122
27	46	120
28	48	118
29	50	117
30	52	115
31	53	113
32	55	112
33	57	111
34	58	109
35	60	107
36	61	105
37	63	103
38	64	101
39	66	99
40	68	97
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	80	80
50	82	79
51	83	77
52	85	75
53	87	74
54	88	72
55	89	70
56	91	68
57	93	67
58	94	65
59	96	64
60	97	62
61	99	60
62	100	59
63	102	57
64	104	56
65	105	54
66	107	52
67	108	51
68	110	49
69	111	47
70	113	46
71	114	44
72	116	43
73	118	41
74	119	39
75	121	38
76	123	36
77	124	35
78	126	33
79	127	31
80	129	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	145	12
92	147	11
93	149	9
94	151	7
95	152	6
96	154	4
97	156	3
98	158	1
99	159	0
