iter	Passed	Remaining
0	1	106
1	2	100
2	3	101
3	3	93
4	4	91
5	5	90
6	6	88
7	7	86
8	8	85
9	9	84
10	10	84
11	11	84
12	12	86
13	14	90
14	16	91
15	17	92
16	19	93
17	20	94
18	22	94
19	23	94
20	25	94
21	26	94
22	28	94
23	29	94
24	31	94
25	33	94
26	34	94
27	36	93
28	38	93
29	39	92
30	40	90
31	41	89
32	43	87
33	44	86
34	45	84
35	46	83
36	48	82
37	49	80
38	50	79
39	51	77
40	53	76
41	53	74
42	54	72
43	55	71
44	57	69
45	58	69
46	60	67
47	61	66
48	63	65
49	64	64
50	65	63
51	67	62
52	68	60
53	70	59
54	71	58
55	72	57
56	73	55
57	74	54
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	82	46
64	83	45
65	85	43
66	86	42
67	88	41
68	89	40
69	90	38
70	92	37
71	93	36
72	94	35
73	96	33
74	97	32
75	99	31
76	100	30
77	101	28
78	103	27
79	104	26
80	106	24
81	108	23
82	109	22
83	111	21
84	113	19
85	114	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
